CABLE NO.,ORIGINATION POINT,TERMINATION POINT,CABLE TYPE,"COLOR
?",WIRE 1,WIRE 2,WIRE 3,WIRE 4,WIRE 5,WIRE 6,WIRE 7,WIRE 8,WIRE 9,WIRE 10,CONDUIT SIZE,QTY,"REMARKS
??",Notes
VHPM-P1,SENSOR VACUUM UNIT PANEL,HYD.UNIT (VACUUM ),MTW 14 AWG ×3 W,BK,V-U2,V-V2,V-W2,,,,,,,,KMS-16,,"?
3.7",(I)
,SENSOR VACUUM UNIT PANEL,HYD.UNIT (VACUUM ),MTW 14 AWG ×1 W,G/Y,G,,,,,,,,,,,,"?
3.7",
TBV4-C1,SENSOR VACUUM UNIT PANEL,TB-V4,MTW 16 AWG ×6 W,BU,24P1,GF1,"V-SOL
0800","V-SOL
0801","SP-
TBV4-1","SP-
TBV4-2",,,,,KMS-16,,"?
3.3",(J) ????
TBV4-C1,SENSOR VACUUM UNIT PANEL,TB-V4,MTW 14 AWG ×1 W,G/Y,G,,,,,,,,,,,,"?
3.7",by CUSTOMER
TBV4-C2,CONDITION MONITOR CONTROL PANEL,TB-V4,KDF-SBL 0.75 sq - 4 C,-,HW11+,HW12-,N24,P24A,SG,,,,,,KMS-16,,"?
7",(K) ????
TBV4-C2,CONDITION MONITOR CONTROL PANEL,TB-V4,MTW 14 AWG ×1 W,G/Y,G,,,,,,,,,,,,"?
3.7",by CUSTOMER
VPM-P1,SENSOR VACUUM UNIT PANEL,VACUUM PUMP,MTW 8 AWG ×3 W,BK,V-U1,V-V1,V-W1,,,,,,,,KMS-28,,"?
6.4",(L)
VPM-P2,SENSOR VACUUM UNIT PANEL,VACUUM PUMP,MTW 8 AWG ×1 W,G/Y,G,,,,,,,,,,,,"?
6.4",
DCP-VCP-C1,DCM CONTROL PANEL,SENSOR VACUUM UNIT PANEL,MTW 16 AWG ×30 W,OR,8600,8601,8602,8603,8604,8605,8606,8607,8617,8608,,,"?
3.3",(M)
DCP-VCP-C1,DCM CONTROL PANEL,SENSOR VACUUM UNIT PANEL,,OR,8609,"8600
A",8610,8618,8619,SP-8620,"SP-DCP
VCP-1",V-COM,CR0900A,CR0901A,KMS-36,,,
DCP-VCP-C1,DCM CONTROL PANEL,SENSOR VACUUM UNIT PANEL,,OR,"SP-CR
0902A","CR
0903A","SP-CR
0904A","CR
0905A","CR
0906A","CR
0907A","CR
0911A","SP-CR
0912A","SP-
EM1",V-TH0A,,,,
DCP-RTCP-C1,DCM CONTROL PANEL,RING TIP C.P.,MTW 16 AWG ×16 W,OR,N,"00
0010","00
0011","00
0012","00
0013","00
0014","00
0015",Z1,Z10,Z11,KMS-28,,"?
3.3",-4
DCP-RTCP-C1,DCM CONTROL PANEL,RING TIP C.P.,,,Z12,Z13,"SP-DCP
RTCP-1","SP-DCP
RTCP-2","SP-DCP
RTCP-3","SP-DCP
RTCP-4",,,,,,,,
DCP-CMCP-C1,DCM CONTROL PANEL,CONDITION MONITOR CONTROL PANEL,MTW 16 AWG ×30 W,OR,"M-
N24","M-30
000","M-30
001","M-30
003","M-30
004","M-30
005","M-30
007","M-30
011","M-30
012","M-30
013",,,"?
3.3",(6) ????
DCP-CMCP-C1,DCM CONTROL PANEL,CONDITION MONITOR CONTROL PANEL,,,"M-30
014","M-30
014",ILM0,ILM1,ILM2,ILM3,ILM4,ILM5,ILM6,ILM7,KMS-36,,,by CUSTOMER
DCP-CMCP-C1,DCM CONTROL PANEL,CONDITION MONITOR CONTROL PANEL,,,"SP-DCP
CMCP-1","SP-DCP
CMCP-2","SP-DCP
CMCP-3","SP-DCP
CMCP-4","SP-DCP
CMCP-5","SP-DCP
CMCP-6","SP-DCP
CMCP-7","SP-DCP
CMCP-8","SP-DCP
CMCP-9","SP-DCP
CMCP-10",,,,
VCP-CMCP-C1,SENSOR VACUUM UNIT PANEL,CONDITION MONITOR CONTROL PANEL,MTW 16 AWG ×10 W,OR,"M-
N24","M-0
0007","M-0
0008","M-0
0009","M-0
0010","SP-VCP
CMCP-1","SP-VCP
CMCP-2","SP-VCP
CMCP-3","SP-VCP
CMCP-4","SP-VCP
CMCP-5",KMS-22,,"?
3.3",-15
RTCP-TLB-C1,RING TIP C.P.,TIP LUB UNIT,MTW 16 AWG ×5 W,BU,P24A,114,115,"SP-RTCP
TLB-1","SP-RTCP
TLB-2",,,,,,KMS-16,,"?
3.3",-21
RTCP-TLB-C1,RING TIP C.P.,TIP LUB UNIT,MTW 14 AWG ×1 W,G/Y,G,,,,,,,,,,,,"?
3.7",
CMOP-C1,CONDITION MONITOR CONTROL PANEL,CONDITION MONITOR OPERATION PANEL,MTW 14 AWG ×4 W,RD,101,105,106,107,,,,,,,,,(22) ????,
CMOP-C1,CONDITION MONITOR CONTROL PANEL,CONDITION MONITOR OPERATION PANEL,MTW 14 AWG ×1 W,G/Y,G,,,,,,,,,,KMS-28,,by CUSTOMER,
CMOP-C1,CONDITION MONITOR CONTROL PANEL,CONDITION MONITOR OPERATION PANEL,MTW 16 AWG ×7 W,BU,P24,P24A,N24,30,30,30,30,SP-,SP-,SP-,,,,
CMOP-C1,CONDITION MONITOR CONTROL PANEL,CONDITION MONITOR OPERATION PANEL,,,,,,104,105,610,611,CMOP-1,CMOP-2,CMOP-3,,,,
CMOP-C1,CONDITION MONITOR CONTROL PANEL,CONDITION MONITOR OPERATION PANEL,2P TWISTED PARE CABLE,,RD,SD,SG,SHD,,,,,,,,,,
