Item,Item Description,Item Status,Quantity,Subinventory,UOM,Cost,Organization
DCGS6403-P2-NEW,P2 RACK 1-F7......ECI A90....C3 SLIDE CORE,Active,2,STOCK CAGE,EA,3500,AAC KOKI
DCGS6404-P2-LCL,P2 RACK 1-F8......ECI A90....C4 SLIDE CORE,Active,4,STOCK CAGE,EA,#N/A,AAC KOKI
DCGS6404-P2-NEW,P2 RACK 1-F8......ECI A90....C4 SLIDE CORE,Active,3,STOCK CAGE,EA,3400,AAC KOKI
DCGS6410B-P2-NEW,2D032F-1......ECI A1....SLIDE COTTER C1 STEEL SHIM 0.05mm,Active,4,STOCK CAGE,EA,26.6,AAC KOKI
DCGS6410C-P2-NEW,2D032F-2......ECI A1....SLIDE COTTER C1 STEEL SHIM 0.1mm,Active,5,STOCK CAGE,EA,28,AAC KOKI
DCGS6410D-P2-NEW,2D032G-1......ECI A1....SLIDE COTTER C1 STEEL SHIM 0.2mm,Active,5,STOCK CAGE,EA,26.6,AAC KOKI
DCGS6410E-P2-NEW,2D032G-2......ECI A1....SLIDE COTTER C1 STEEL SHIM 0.3mm,Active,5,STOCK CAGE,EA,26.6,AAC KOKI
DCGS6410F-P2-NEW,2D032H-1......ECI A1....SLIDE COTTER C1 STEEL SHIM 0.4mm,Active,5,STOCK CAGE,EA,26.6,AAC KOKI
DCGS6410G-P2-NEW,2D032H-2......ECI A1....SLIDE COTTER C1 STEEL SHIM 0.5mm,Active,5,STOCK CAGE,EA,27.86,AAC KOKI
DCGS6410-P2-NEW,2D038A......ECI-A86...SLIDE COTTER,Active,2,STOCK CAGE,EA,1430,AAC KOKI
DCGS6411C-P2-NEW,2D033A-2......ECI D2....C1 COOLING PIPE [WCSP6-200],Active,5,STOCK CAGE,EA,9.75,AAC KOKI
DCGS6411-P2-NEW,2D033A-1......ECI D2....C1 SLIDE HOLDER,Active,0,,,28,AAC KOKI
DCGS6413-P2-NEW,2D037D.....ECI-000.....C1 SLIDE CENTER KEY,Active,2,STOCK CAGE,EA,205,AAC KOKI
DCGS6419-P2-NEW,2D033B......ECI-000....C1 SLIDE ANGULAR PIN,Active,2,STOCK CAGE,EA,85.86,AAC KOKI
DCGS6420B-P2-NEW,2D033C-1......ECI A1....SLIDE COTTER C2 STEEL SHIM 0.05mm,Active,5,STOCK CAGE,EA,42.79,AAC KOKI
DCGS6420C-P2-NEW,2D033C-2......ECI A1....SLIDE COTTER C2 STEEL SHIM 0.1mm,Active,7,STOCK CAGE,EA,42.78,AAC KOKI
DCGS6420D-P2-NEW,2D033D-1......ECI A1....SLIDE COTTER C2 STEEL SHIM 0.2mm,Active,5,STOCK CAGE,EA,27.86,AAC KOKI
DCGS6420E-P2-NEW,2D033D-2......ECI A1....SLIDE COTTER C2 STEEL SHIM 0.3mm,Active,5,STOCK CAGE,EA,26.6,AAC KOKI
DCGS6420F-P2-NEW,2D033E-1......ECI A1....SLIDE COTTER C2 STEEL SHIM 0.4mm,Active,5,STOCK CAGE,EA,26.6,AAC KOKI
DCGS6420G-P2-NEW,2D033E-2......ECI A1....SLIDE COTTER C2 STEEL SHIM 0.5mm,Active,4,STOCK CAGE,EA,26.6,AAC KOKI
