Order Number,Drawing Number,Equipment,Cable Number,Originating Point,Termination Point,Cable Type,Cable Color,Wire1,Wire2,Wire3,Wire4,Wire5,Wire6,Wire7,Wire8,Wire9,Wire10,Conduit Size,Conduit Qty,Notes
45072,151-E8810:401-0,UH1650 DIE CASTING MACHINE,CP-OP-C2-1,CONTROL PANEL,OPERATION PANEL,MTW 14 AWG × 19 W,BU,3201,3209,3210,X209800,SP OP-11,SP OP-12,SP OP-13,SP OP-14,SP OP-15,,,,
45072,151-E8810:401-0,UH1650 DIE CASTING MACHINE,CP-OP-C2-2,CONTROL PANEL,OPERATION PANEL,MTW 14 AWG × 11 W,B/W,N24,N24,NC24,NC24,NOP24,NOP24,SP OP-16,SP OP-17,SP OP-18,SP OP-19,Φ,3.7,
45072,151-E8810:401-0,UH1650 DIE CASTING MACHINE,CP-OP-C2-2,CONTROL PANEL,OPERATION PANEL,MTW 14 AWG × 11 W,B/W,SP OP-20,,,,,,,,,,KMS-54 Φ,3.7,
45072,151-E8810:401-0,UH1650 DIE CASTING MACHINE,CP-OP-C2-3,CONTROL PANEL,OPERATION PANEL,MTW 16 AWG x 40 W,BU,1700,1709,1710,1719,1740,1850,1900,1901,1910,1911,Φ,3.3,
45072,151-E8810:401-0,UH1650 DIE CASTING MACHINE,CP-OP-C2-3,CONTROL PANEL,OPERATION PANEL,MTW 16 AWG x 40 W,BU,1940,2400,2409,2410,2419,2600,2609,2610,2619,2650,,,
45072,151-E8810:401-0,UH1650 DIE CASTING MACHINE,CP-OP-C2-3,CONTROL PANEL,OPERATION PANEL,MTW 16 AWG x 40 W,BU,3500,3570,3580,4803,SP OP-21,SP OP-22,SP OP-23,SP OP-24,SP OP-25,SP OP-26,,,
45072,151-E8810:401-0,UH1650 DIE CASTING MACHINE,CP-OP-C2-3,CONTROL PANEL,OPERATION PANEL,MTW 16 AWG x 40 W,BU,Y3611,Y3612,SP OP-28,SP OP-29,SP OP-30,SP OP-31,SP OP-32,SP OP-33,SP OP-34,SP OP-35,,,
45072,151-E8810:401-0,UH1650 DIE CASTING MACHINE,CP-OP-L1-1,CONTROL PANEL,OPERATION PANEL,UE/2501-SB(N)/TC LF 18 AWG - 4 C,BDL BK,BDH WH,BS-GN,BS+RD,,,,,,,,KMS-28 Φ,11.3,Cable supplied
45072,151-E8810:401-0,UH1650 DIE CASTING MACHINE,CP-OP-L1-2,CONTROL PANEL,OPERATION PANEL,LAN CABLE (30m) x 1 W,LAN CABLE FOR TOUCH PANEL,,,,,,,,,,,KMS-22 Φ,7,Cable supplied (P)
45072,151-E8810:401-0,UH1650 DIE CASTING MACHINE,CP-TB1-C1-1,CONTROL PANEL,TB-1,MTW 14 AWG x 10 W,BU,P24,P24,PLS24P,PLS24P,P90,P91,P92,TB1-1,TB1-2,TB1-3,Φ,3.7,Cable supplied
45072,151-E8810:401-0,UH1650 DIE CASTING MACHINE,CP-TB1-C1-2,CONTROL PANEL,TB-1,MTW 14 AWG x 10 W,B/W,N24,N24,NLS24,NLS24,N90,N91,N92,TB1-4,TB1-5,TB1-6,Φ,3.7,
45072,151-E8810:401-0,UH1650 DIE CASTING MACHINE,CP-TB1-C1-3,CONTROL PANEL,TB-1,MTW 16 AWG x 60 W,BU,1906,1907,1916,1917,X1212,X1213,X1214,TB1-11,TB1-12,TB1-13,Φ,3.3,
45072,151-E8810:401-0,UH1650 DIE CASTING MACHINE,CP-TB1-C1-3,CONTROL PANEL,TB-1,MTW 16 AWG x 60 W,BU,X1802,X1803,X1806,X1807,X1810,X1811,X1814,X1815,X1902,X1903,KMS-54,,
45072,151-E8810:401-0,UH1650 DIE CASTING MACHINE,CP-TB1-C1-3,CONTROL PANEL,TB-1,MTW 16 AWG x 60 W,BU,X1906,X1907,X1910,X1911,X1914,X1915,X2000,X2001,X2002,X2003,KMS-54,,
45072,151-E8810:401-0,UH1650 DIE CASTING MACHINE,CP-TB1-C1-3,CONTROL PANEL,TB-1,MTW 16 AWG x 60 W,BU,X2004,X2005,X2204,X2205,X2206,X2207,X2208,X2306,X2308,X2512,KMS-54,,
45072,151-E8810:401-0,UH1650 DIE CASTING MACHINE,CP-TB1-C1-3,CONTROL PANEL,TB-1,MTW 16 AWG x 60 W,BU,X2615,X2700,X2701,X23114,TB1-14,TB1-15,TB1-16,TB1-17,TB1-18,TB1-19,KMS-54,,
45072,151-E8810:401-0,UH1650 DIE CASTING MACHINE,CP-TB1-C1-3,CONTROL PANEL,TB-1,MTW 16 AWG x 60 W,BU,TB1-20,TB1-21,TB1-22,TB1-23,TB1-24,TB1-25,TB1-26,TB1-27,,,KMS-54,,
45072,151-E8810:401-0,UH1650 DIE CASTING MACHINE,CP-TB1-C2-1,CONTROL PANEL,TB-1,MTW 14 AWG x 3 W,WH,1321,TB1-31,TB1-32,,,,,,,,Φ,3.7,
45072,151-E8810:401-0,UH1650 DIE CASTING MACHINE,CP-TB1-C2-2,CONTROL PANEL,TB-1,MTW 16 AWG x 30 W,RD,Y3107,Y3108,Y3200,Y3201,Y3202,Y3203,Y3204,Y3205,Y3206,Y3207,Φ,3.3,
45072,151-E8810:401-0,UH1650 DIE CASTING MACHINE,CP-TB1-C2-2,CONTROL PANEL,TB-1,MTW 16 AWG x 30 W,RD,Y3213,Y3300,Y3301,Y3302,Y3303,Y3304,Y3305,TB1-33,TB1-34,TB1-35,KMS-36,,
45072,151-E8810:401-0,UH1650 DIE CASTING MACHINE,CP-TB1-C2-2,CONTROL PANEL,TB-1,MTW 16 AWG x 30 W,RD,TB1-36,TB1-37,TB1-38,TB1-39,TB1-40,TB1-41,TB1-42,TB1-43,TB1-44,TB1-45,KMS-36,,
45072,151-E8810:401-0,UH1650 DIE CASTING MACHINE,CP-TB1-C2-2,CONTROL PANEL,TB-1,MTW 12 AWG x 1 W,G,,,,,,,,,,,Φ,4.3,
45072,151-E8810:401-0,UH1650 DIE CASTING MACHINE,CP-TB4-C1-1,CONTROL PANEL,TB-4,MTW 14 AWG x 9 W,BU,P24,P24,PLS24P,PLS24P,PW24,PW24,PC24,SP TB4-1,SP TB4-2,,Φ,3.7,
45072,151-E8810:401-0,UH1650 DIE CASTING MACHINE,CP-TB4-C1-2,CONTROL PANEL,TB-4,MTW 14 AWG x 9 W,B/W,N24P,N24P,NLS24,NLS24,NW24,NW24,SP TB4-3,SP TB4-4,SP TB4-5,,Φ,3.7,
45072,151-E8810:401-0,UH1650 DIE CASTING MACHINE,CP-TB4-C1-3,CONTROL PANEL,TB-4,MTW 16 AWG x 55 W,BU,SPTB4-10,SP TB4-11,SP TB4-12,SP TB4-13,SP TB4-14,SP TB4-15,SP TB4-16,SP TB4-17,SP TB4-18,SP TB4-19,KMS-54,,
45072,151-E8810:401-0,UH1650 DIE CASTING MACHINE,CP-TB4-C1-3,CONTROL PANEL,TB-4,MTW 16 AWG x 55 W,BU,X1800,X1801,X1804,X1805,X1808,X1809,X1812,X1813,X1900,X1901,KMS-54,,
45072,151-E8810:401-0,UH1650 DIE CASTING MACHINE,CP-TB4-C1-3,CONTROL PANEL,TB-4,MTW 16 AWG x 55 W,BU,X1904,X1905,X1908,X1909,X1912,X1913,X2200,X2201,X2202,X2203,KMS-54,,
45072,151-E8810:401-0,UH1650 DIE CASTING MACHINE,CP-TB4-C1-3,CONTROL PANEL,TB-4,MTW 16 AWG x 55 W,BU,X2307,X2514,X2515,X2610,X2611,X2612,SP TB4-20,SP TB4-21,SP TB4-22,SP TB4-23,KMS-54,,
45072,151-E8810:401-0,UH1650 DIE CASTING MACHINE,CP-TB4-C1-3,CONTROL PANEL,TB-4,MTW 16 AWG x 55 W,BU,CWX0100,CWX0101,CWX0102,CWX0103,CWX0104,CWX0105,CWX0106,CWX0107,CWX0108,CWX0109,KMS-54,,
45072,151-E8810:401-0,UH1650 DIE CASTING MACHINE,CP-TB4-C1-3,CONTROL PANEL,TB-4,MTW 16 AWG x 55 W,BU,Y3607,Y3608,SP TB4-24,SP TB4-25,SP TB4-26,,,,,,KMS-54,,
45072,151-E8810:401-0,UH1650 DIE CASTING MACHINE,CP-TB4-C1-4,CONTROL PANEL,TB-4,CAE-0192 x 1 W,RD,5710,NLS24,5711,NLS24,PLS24,NLS24,5712,NLS24,5713,SH,Φ,6.3,Cable provided
45072,151-E8810:401-0,UH1650 DIE CASTING MACHINE,CP-TB4-C1-5,CONTROL PANEL,TB-4,KX-S x 1 W,,5500+,5500-,,,,,,,,,Φ,6.1,
45072,151-E8810:401-0,UH1650 DIE CASTING MACHINE,CP-TB4-C2-1,CONTROL PANEL,TB-4,MTW 14 AWG x 3 W,WH,1321,SP TB4-31,SP TB4-32,,,,,,,,Φ,3.7,
45072,151-E8810:401-0,UH1650 DIE CASTING MACHINE,CP-TB4-C2-2,CONTROL PANEL,TB-4,MTW 16 AWG x 11 W,RD,Y3111,Y3112,Y3504,Y3505,Y3512,Y3513,SP TB4-33,SP TB4-34,SP TB4-35,SP TB4-36,KMS-28,3.3,
45072,151-E8810:401-0,UH1650 DIE CASTING MACHINE,CP-TB4-C2-2,CONTROL PANEL,TB-4,MTW 16 AWG x 11 W,RD,SP TB4-37,,,,,,,,,,KMS-28,3.3,
45072,151-E8810:401-0,UH1650 DIE CASTING MACHINE,CP-TB4-C2-3,CONTROL PANEL,TB-4,MTW 12 AWG x 1 W,G,,,,,,,,,,,Φ,4.3,
45072,151-E8810:401-0,UH1650 DIE CASTING MACHINE,TB1-TB7-C1-1,TB-1,TB-7,D-LIST-MTW 14 AWG-10 C,P24,SP,SP,SP,TB7-1,TB7-2,TB7-3,,,,,Φ 20.2,,Cable supplied
45072,151-E8810:401-0,UH1650 DIE CASTING MACHINE,TB1-TB7-C1-2,TB-1,TB-7,D-LIST-MTW 18 AWG-20 C,N24,N24,NLS24,G,TB7-4,,,,,,,KPF-54,,Cable supplied
45072,151-E8810:401-0,UH1650 DIE CASTING MACHINE,TB1-TB7-C1-2,TB-1,TB-7,D-LIST-MTW 18 AWG-20 C,,X1802,X1803,X1806,X1807,X1810,X1811,X1814,X1815,X1902,X1903,KPF-54,20,Cable supplied
45072,151-E8810:401-0,UH1650 DIE CASTING MACHINE,TB1-TB7-C1-2,TB-1,TB-7,D-LIST-MTW 18 AWG-20 C,,X1906,X1907,X1910,X1911,X1914,X1915,X2000,X2001,X2002,X2003,KPF-54,20,Cable supplied
45072,151-E8810:401-0,UH1650 DIE CASTING MACHINE,TB1-TB7-C1-3,TB-1,TB-7,D-LIST-MTW 18 AWG-20 C,,X2004,X2005,X2204,X2205,X2206,X2207,X2208,X2306,X2308,X2615,,,Cable supplied
45072,151-E8810:401-0,UH1650 DIE CASTING MACHINE,TB1-TB7-C1-3,TB-1,TB-7,D-LIST-MTW 18 AWG-20 C,,X2700,X2701,X23114,SP TB7-11,SP TB7-12,SP TB7-13,SP TB7-14,CUT,,,,20,Cable supplied
45072,151-E8810:401-0,UH1650 DIE CASTING MACHINE,TB1-TB7-C2-1,TB-1,TB-7,D-LIST-MTW 14 AWG-10 C,1321,SP TB7-21,SP TB7-22,,,,,,,,,Φ 20.2,,Cable supplied
45072,151-E8810:401-0,UH1650 DIE CASTING MACHINE,TB1-TB7-C2-2,TB-1,TB-7,D-LIST-MTW 18 AWG-20 C,Y3107,Y3108,Y3200,Y3201,Y3202,Y3203,Y3204,Y3205,Y3206,Y3207,,,,Cable supplied
45072,151-E8810:401-0,UH1650 DIE CASTING MACHINE,TB1-TB7-C2-2,TB-1,TB-7,D-LIST-MTW 18 AWG-20 C,Y3213,Y3300,Y3301,Y3302,Y3303,Y3304,Y3305,SP TB7-31,SP TB7-32,CUT,,KPF-54,20,Cable supplied
45072,151-E8810:401-0,UH1650 DIE CASTING MACHINE,TB1-TB7-C2-3,TB-1,TB-7,D-LIST-MTW 18 AWG-20 C,SP,TB7-41,TB7-42,TB7-43,TB7-44,TB7-45,TB7-46,TB7-47,TB7-48,TB7-49,TB7-50,,20,Cable supplied
45072,151-E8810:401-0,UH1650 DIE CASTING MACHINE,TB1-TB7-C2-3,TB-1,TB-7,D-LIST-MTW 18 AWG-20 C,SP,TB7-51,TB7-52,TB7-53,TB7-54,TB7-55,TB7-56,TB7-57,TB7-58,TB7-59,CUT,,20,Cable supplied
45072,151-E8810:401-0,UH1650 DIE CASTING MACHINE,TB4-TB8-C1-1,TB-4,TB-8,D-LIST-MTW 18 AWG-20 С,,X1800,X1801,X1804,X1805,X1808,X1809,X1812,X1813,X1900,X1901,,,Cable supplied
45072,151-E8810:401-0,UH1650 DIE CASTING MACHINE,TB4-TB8-C1-1,TB-4,TB-8,D-LIST-MTW 18 AWG-20 С,G,X1904,X1905,X1908,X1909,X1912,X1913,X2200,X2201,X2202,,20,,Cable supplied
45072,151-E8810:401-0,UH1650 DIE CASTING MACHINE,TB4-TB8-C1-2,TB-4,TB-8,D-LIST-MTW 18 AWG-20 C,,X2203,X2307,X2514,X2515,X2610,X2611,X2612,CWX0100,CWX0101,CWX0102,KPF-54,20,Cable supplied
45072,151-E8810:401-0,UH1650 DIE CASTING MACHINE,TB4-TB8-C1-2,TB-4,TB-8,D-LIST-MTW 18 AWG-20 C,,CWX0103,CWX0104,CWX0105,CWX0106,CWX0107,CWX0108,CWX0109,Y3607,Y3608,CUT,KPF-54,20,Cable supplied
45072,151-E8810:401-0,UH1650 DIE CASTING MACHINE,TB4-TB8-C1-3,TB-4,TB-8,KDF-SB 0.5 x4 P,BU,5710,NLS24,5711,NLS24,PLS24,NLS24,5712,NLS24,5713,SH,,10.5,Cable supplied
