Location,Symbol Text,Description,Part Number,Quantity,Manufacturer,Notes,Number,Drawing Number,Equipment,Order Number
 POWER PANEL,CP140,"CIRCUIT PROTECTOR 1P, AC7A, C CURVE",60208 (Multi9 C60 UL489),1,FUJI,UL489 10kA,51,151-E8810:601-0,UH1650 DIE CASTING MACHINE,45072
 POWER PANEL,CP14C,"CIRCUIT PROTECTOR 1P, AC7A, C CURVE",60208 (Multi9 C60 UL489),1,FUJI,UL489 10kA,51,151-E8810:601-0,UH1650 DIE CASTING MACHINE,45072
 POWER PANEL,CP140,COVER,ULM9T-COV,6-Feb,FUJI,UL489 10kA,51,151-E8810:601-0,UH1650 DIE CASTING MACHINE,45072
 POWER PANEL,CP14C,COVER,ULM9T-COV,6-Feb,FUJI,UL489 10kA,51,151-E8810:601-0,UH1650 DIE CASTING MACHINE,45072
 POWER PANEL,CP143,"CIRCUIT PROTECTOR 1P, DC3A, C CURVE",60204 (Multi9 C60 UL489),1,FUJI,UL489 10kA,52,151-E8810:601-0,UH1650 DIE CASTING MACHINE,45072
 POWER PANEL,CP143,COVER,ULM9T-COV,6-Feb,FUJI,UL489 10kA,52,151-E8810:601-0,UH1650 DIE CASTING MACHINE,45072
 POWER PANEL,CP144,"CIRCUIT PROTECTOR 1P, DC5A, C CURVE",60206 (Multi9 C60 UL489),1,FUJI,UL489 10kA,53,151-E8810:601-0,UH1650 DIE CASTING MACHINE,45072
 POWER PANEL,CP145,"CIRCUIT PROTECTOR 1P, DC5A, C CURVE",60206 (Multi9 C60 UL489),1,FUJI,UL489 10kA,53,151-E8810:601-0,UH1650 DIE CASTING MACHINE,45072
 POWER PANEL,CP14B,"CIRCUIT PROTECTOR 1P, DC5A, C CURVE",60206 (Multi9 C60 UL489),1,FUJI,UL489 10kA,53,151-E8810:601-0,UH1650 DIE CASTING MACHINE,45072
 POWER PANEL,CP144,COVER,ULM9T-COV,6-Feb,FUJI,UL489 10kA,53,151-E8810:601-0,UH1650 DIE CASTING MACHINE,45072
 POWER PANEL,CP145,COVER,ULM9T-COV,6-Feb,FUJI,UL489 10kA,53,151-E8810:601-0,UH1650 DIE CASTING MACHINE,45072
 POWER PANEL,CP14B,COVER,ULM9T-COV,6-Feb,FUJI,UL489 10kA,53,151-E8810:601-0,UH1650 DIE CASTING MACHINE,45072
 POWER PANEL,CP146,"CIRCUIT PROTECTOR 1P, DC10A, C CURVE",60210 (Multi9 C60 UL489),1,FUJI,UL489 10kA,54,151-E8810:601-0,UH1650 DIE CASTING MACHINE,45072
 POWER PANEL,CP146,COVER,ULM9T-COV,6-Feb,FUJI,UL489 10kA,54,151-E8810:601-0,UH1650 DIE CASTING MACHINE,45072
 POWER PANEL,CP147,"CIRCUIT PROTECTOR 1P, DC10A, C CURVE",60210 (Multi9 C60 UL489),1,FUJI,UL489 10kA,55,151-E8810:601-0,UH1650 DIE CASTING MACHINE,45072
 POWER PANEL,CP147,COVER,ULM9T-COV,6-Feb,FUJI,UL489 10kA,55,151-E8810:601-0,UH1650 DIE CASTING MACHINE,45072
 POWER PANEL,CP149,"CIRCUIT PROTECTOR 1P, DC1A, C CURVE",60201 (Multi9 C60 UL489),1,FUJI,UL489 10kA,56,151-E8810:601-0,UH1650 DIE CASTING MACHINE,45072
 POWER PANEL,CP149,COVER,ULM9T-COV,6-Feb,FUJI,UL489 10kA,56,151-E8810:601-0,UH1650 DIE CASTING MACHINE,45072
 POWER PANEL,CP148,"CIRCUIT PROTECTOR 1P, DC2A, C CURVE",60203 (Multi9 C60 UL489),1,FUJI,UL489 10kA,57,151-E8810:601-0,UH1650 DIE CASTING MACHINE,45072
 POWER PANEL,CP14A,"CIRCUIT PROTECTOR 1P, DC2A, C CURVE",60203 (Multi9 C60 UL489),1,FUJI,UL489 10kA,57,151-E8810:601-0,UH1650 DIE CASTING MACHINE,45072
 POWER PANEL,CP148,COVER,ULM9T-COV,6-Feb,FUJI,UL489 10kA,57,151-E8810:601-0,UH1650 DIE CASTING MACHINE,45072
 POWER PANEL,CP14A,COVER,ULM9T-COV,6-Feb,FUJI,UL489 10kA,57,151-E8810:601-0,UH1650 DIE CASTING MACHINE,45072
 POWER PANEL,CP14D,"CIRCUIT PROTECTOR 1P, DC10A, C CURVE",60210 (Multi9 C60 UL489),1,FUJI,UL489 10kA,58,151-E8810:601-0,UH1650 DIE CASTING MACHINE,45072
 POWER PANEL,CP14D,COVER,ULM9T-COV,6-Feb,FUJI,UL489 10kA,58,151-E8810:601-0,UH1650 DIE CASTING MACHINE,45072
 POWER PANEL,CP150,"CIRCUIT PROTECTOR 1P, AC2A, C CURVE",60203 (Multi9 C60 UL489),1,FUJI,UL489 5kA,60,151-E8810:601-0,UH1650 DIE CASTING MACHINE,45072
 POWER PANEL,CP150,COVER,ULM9T-COV,6-Feb,FUJI,UL489 5kA,60,151-E8810:601-0,UH1650 DIE CASTING MACHINE,45072
 POWER PANEL,CP152,"CIRCUIT BREAKER 1P, AC15A, C CURVE",60212 (Multi9 C60 UL489),1,FUJI,UL489 10kA,61,151-E8810:601-0,UH1650 DIE CASTING MACHINE,45072
 POWER PANEL,CP152,COVER,ULM9T-COV,6-Feb,FUJI,UL489 10kA,61,151-E8810:601-0,UH1650 DIE CASTING MACHINE,45072
 POWER PANEL,CP153,"CIRCUIT BREAKER 1P, AC10A, C CURVE",60210 Multi9 C60 UL489),1,FUJI,UL489 10kA,62,151-E8810:601-0,UH1650 DIE CASTING MACHINE,45072
 POWER PANEL,CP153,COVER,ULM9T-COV,6-Feb,FUJI,UL489 10kA,62,151-E8810:601-0,UH1650 DIE CASTING MACHINE,45072
 POWER PANEL,MS2,MAGNETIC SWITCH COIL:DC24V 18~26A,SW-N2/G/2E,1,FUJI,UL 25kA with EW125JAGU,64,151-E8810:601-0,UH1650 DIE CASTING MACHINE,45072
 POWER PANEL,THR2,THERMAL RELAY,,1,FUJI,UL 25kA with EW125JAGU,64,151-E8810:601-0,UH1650 DIE CASTING MACHINE,45072
 POWER PANEL,MS2,COVER,SZ-T22,1,FUJI,UL 25kA with EW125JAGU,64,151-E8810:601-0,UH1650 DIE CASTING MACHINE,45072
