Loc.,Item #,Manuf. ,Part #,Description,Qty.,1ST CHECK,2ND CHECK,NOTES,WORK ORDER,Cost,Total Value,Cost New,,
1R-A49B,,FANUC,A05B-2255-C105,TEACH PENDANT,0,,,,,1.00,$0.00 ,$1.00,,
1R-A49C,,FANUC,A05B-2518-C202,TEACH PENDANT,1,,,,,"1,865.00",1865,"$15,207.50",,
1R-A50A,S009519,FANUC,A06B-6105-H002,AMPLIFIER,1,,,,,"2,750.00",2750,"$15,208.00",,
1R-A50A,S009519,FANUC,A06B-6105-H002,AMPLIFIER,2,,,,,"2,125.00",4250,"$15,208.00",,
1R-A51B,,TELESIS,TMP1700,PINSTAMP,1,,,,,"1,412.00",1412,,,
1R-A51B,,TELESIS,TMP1700,PINSTAMP,1,,,,130430,"1,510.00",1510,,,
1R-A52A,,FANUC,A05B-2301-C362,TEACH PENDANT,1,,,,,1.00,$1.00 ,,,
1R-A52B,S000908,FANUC,C0M-2(PC)F,PC BOARD,1,,,,,300.00,$300.00 ,,,
1R-A52C,S003999,NEMIC-LAMBDA,HR-10F-24,POWER SUPPLY,1,,,,,1.00,$1.00 ,,,
1R-A52D,S015218,RHINO,PSP24-240S,POWER SUPPLY,1,,,,,1.00,1,,,
1R-A53A,?,FANUC,A05B-2301-C315,TEACH PENDANT,2,,,,,"1,956.00",3912,"$2,890.00",,
1R-A53B,?,FANUC,A02B-0211-C030,TEACH PENDANT,1,,,,,"1,225.00",1225,"$11,635.05",,
1R-A53C,S007176,FANUC,A05B-2490-C140,TEACH PENDANT,1,,,,125833,"1,829.00",1829,"$10,549.00",,
1R-A53C,S007176,FANUC,A05B-2490-C140,TEACH PENDANT,0,,,,,"1,375.00",0,"$10,549.00",,
1R-A54A,S008333,FANUC,A05B-2301-C305,TEACH PENDANT,5,,,,,"1,327.00",6635,"$5,726.00",,
1R-A54A,S008333,FANUC,A05B-2301-C305,TEACH PENDANT,1,,,,133333,"1,372.00",1372,"$5,726.00",,
1R-A54B,S000012,NSD,AL220-7A1,CONTROLLER,1,,,,,"1,295.00",1295,"$1,689.00",,
1R-A54C,,FANUC,A05B-2301-C370,TEACH PENDANT,0,,,,,"1,264.00",0,,,
1R-A55A,S005764,FANUC,A02B-0211-C020,TEACH PENDANT,7,,,,,"1,095.00",7665,"$2,890.00",,
1R-A55A,S005764,FANUC,A02B-0211-C020,TEACH PENDANT,2,,,,117964,"1,095.00",2190,"$2,890.00",,
1R-A55A,S005764,FANUC,A02B-0211-C020,TEACH PENDANT,4,,,,,"1,375.00",5500,"$2,890.00",,
1R-A55B,,FUJI,BU-KSB3350,350 AMP BREAKER,1,,,,,1.00,1,,,
1R-A55C,?,FANUC,A05B-2301-C300,TEACH PENDANT,1,,,,,"1,375.00",1375,"$1,740.00",,
1R-A56A,S009602,CONTROL CONCEPTS,1029D or 1029C-V-208V-120-R4,CONTROLLER,2,,,,125102,563.00,1126,"$1,740.00",,
1R-A56A,S009602,CONTROL CONCEPTS,1029D or 1029C-V-208V-120-R4,POWER CONTROLLER,2,,,,,"1,225.00",2450,"$1,740.00",,
1R-A56B,,SANYO DENKI,PZ0A050A221T00,AMPLIFIER,1,,,,,"2,145.00",2145,,,
1R-A56B,,SANYO-DENKI,PZ0A050A221T00,AMPLIFIER,0,,,,124695,"2,170.00",0,,,
1R-A56B,,SANYO-DENKI,PZ0A050A221T00,AMPLIFIER,1,,,,122774,"2,157.00",2157,,,
1R-A56B,,SANYO-DENKI,PZ0A050A221T00,AMPLIFIER,3,,,,125464/125465,"2,750.00",8250,,,
1R-A56B,,SANYO-DENKI,PZ0A050A221T00,AMPLIFIER,0,,,,125463/125462,"2,300.00",0,,,
1R-A57A,,SANYO DENKI,PZ0A050AME1T00,AMP,1,,,,127384,"2,150.00",2150,,,
1R-A57B,,HONEYWELL,RM7890B1048,BURNER CONTROL,1,,,,,495.00,495,,,
1R-A57C,,HONEYWELL,RM7890 B 1030,BURNER CONTROL,1,,,,124693,595.00,595,,,
1R-A57D,,HONEYWELL,DC2500-E0-0L00-100-10000-00-,,2,,,,122766,540.00,1080,,,
1R-A58A,S002721,MITSUBISHI,FR-A740-00060-NA,INVERTER,1,,,,,1.00,1,$963.00,,
1R-A58B,S0011957,FUJI ELECTRONICS,FRN1.5G11S-2,INVERTER,0,,,,,1.00,0,$852.00,,
1R-A58C,S002719,MITSUBISHI,FR-A024-2.2KP,INVERTER,1,,,,,1.00,1,$754.00,,
1R-A58D,S003699,FANUC,A16B-1212-0871,CIRCUIT BOARD,7,,,,,592.00,4144,"$1,506.00",,
1R-A59A,S010456,MITSUBISHI,FR-E740-300-NA,INVERTER,4,,,,,511.00,2044,"$3,184.00",,
1R-A59B,,MITSUBISHI,FR-A540-5.5K-NA,INVERTER,1,,,,,"1,125.00",1125,"$3,184.00",,
1R-A60A,S002721,MITSUBISHI,FR-A740-00230-NA,INVERTER,0,,,,125830/125855,"1,127.00",0,,,
1R-A60B,,MITSUBISHI,FR-D740-012-NA,INVERTER,1,,,,,265.00,265,,,
1R-A60C,S006166,RELIANCE,SP500,INVERTER,1,,,,,1.00,1,,,
1R-A61A,S007046,MITSUBISHI,FR-A540-7.5K,INVERTER,1,,,,,"1,218.00",1218,"$1,468.00",,
1R-A61B,,ALLEN-BRADLEY,20AD014A3A77ANNN,INVERTER,1,,,,,1.00,1,,,
1R-A61C,,FANUC,A05B-2255-C102,TEACH PENDANT,1,,,,,"1,486.00",1486,,,
