Item,Item Description,Item Status,Quantity,Subinventory,UOM,Location,Lot Number,Organization
S011795,INACTIVE.....SMC SEAL KIT FOR ROD SEAL [ KB00074 ] 726 OFB MML3025,Inactive,0,,,,2.05,AAC Plant 1
S011795,INACTIVE.....SMC SEAL KIT FOR ROD SEAL [ KB00074 ] 726 OFB MML3025,Inactive,0,,,,2.05,AAC Plant 2
S011796,O-RING [ KB00101 ] 726 OFB MML3025,NoPurchase,1,STOCK CAGE,EA,1N031D,3.3,AAC Plant 1
S011796,O-RING [ KB00101 ] 726 OFB MML3025,Inactive,0,,,,3.3,AAC Plant 2
S011797,SMC TUBE GASKET [ CM-020-16-123 ] 726 OFB,Active,4,STOCK CAGE,EA,1N031E,3.3,AAC Plant 1
S011797,SMC TUBE GASKET [ CM-020-16-123 ] 726 OFB,Inactive,0,,,,3.3,AAC Plant 2
S011798,SMC CYLINDER  [ CG1BA20-150 ] 726 OFB MML3025,Active,2,STOCK CAGE,EA,1G004C,43.55,AAC Plant 1
S011798,SMC CYLINDER  [ CG1BA20-150 ] 726 OFB MML3025,Inactive,0,,,,43.55,AAC Plant 2
S011799,A-10-TM651 (NBR)  SHINKO O-RING FOR REAR COVER    MA13 RC M200,Inactive,0,,,,4.5,AAC Plant 1
S011799,A-10-TM651 (NBR)  SHINKO O-RING FOR REAR COVER    MA13 RC M200,Inactive,0,,,,4.5,AAC Plant 2
S011800,SHOT BLAST RACK HOOKS TAC SHOT BLAST,Active,5,STOCK CAGE,EA,2H003F,105,AAC Plant 2
S011801,SHOT BLAST RACK / HANGER HOOK & MOUNT BLOCK TAC SHOT BLAST,Active,10,STOCK CAGE,EA,2H003G,515,AAC Plant 2
S011802,"TOYO PUMP MOTOR  [HBPP-KB4L-VB2V-8A5],HBPP-KB4-VB2V-8AS DC03",Active,1,STOCK CAGE,EA,2J019B,1677.13,AAC Plant 2
S011803,55MM EXTERNAL SNAP RING [98541A171] USED ON SPUR GEAR,Active,3,STOCK CAGE,EA,2G032D-1,14.43,AAC Plant 2
S011804,SMC PILOT VALVE [ V3108-X23 ] IDEC DC03 ( USE S009751 WITH THIS VALVE ),Active,2,STOCK CAGE,EA,2V062C,77.78,AAC Plant 2
S011805,FANUC EMERGENCY STOP UNIT [A05B-2400-C120] DC03,Active,2,STOCK CAGE,EA,2Z027B-1,433.2,AAC Plant 2
S011806,DUST SEAL [AE3409AO] DC03 2250T 1 THRU 5,Inactive,0,,,,16.25,AAC Plant 1
S011806,DUST SEAL [AE3409AO] DC03 2250T 1 THRU 5,Active,2,STOCK CAGE,EA,2G053E-1,16.25,AAC Plant 2
S011807,A20605000 LU 206 ALL PURPOSE SILICONE LUBRICANT 5 GAL [7941356] FOR TRIM DIE,Active,1,STOCK CAGE,EA,1 TOP FLOOR E,141.65,AAC Plant 1
S011807,A20605000 LU 206 ALL PURPOSE SILICONE LUBRICANT 5 GAL [7941356] FOR TRIM DIE,Active,1,STOCK CAGE,EA,2V131E,141.65,AAC Plant 2
S011808,KOSMEK WORK SUPPORT [LD302-L] MA13 M200 RC,Active,3,STOCK CAGE,EA,TCC-D04D,360,AAC Plant 1
S011808,KOSMEK WORK SUPPORT [LD302-L] MA13 M200 RC,Inactive,0,,,,360,AAC Plant 2
S011809,EJECTOR CYLINDER [100HW-26FA32BB150-BC] M200 RC MML3009 (UNLOADER) LOC T,Active,1,STOCK CAGE,EA,2V145B,635.75,AAC Plant 2
S011810,KOSMEK SPEED CONTROL [BZL0100-A] M200 RC,Inactive,0,,,,97.88,AAC Plant 1
S011810,KOSMEK SPEED CONTROL [BZL0100-A] M200 RC,Active,4,STOCK CAGE,EA,TC2-D06I,97.88,AAC Plant 2
S011811,KOSMEK CLAMP [LT0480-CR] MA91,Active,4,STOCK CAGE,EA,TCE-D07I,481.5,AAC Plant 1
S011811,KOSMEK CLAMP [LT0480-CR] MA91,Inactive,0,,,,481.5,AAC Plant 2
S011812,KOSMEK CLAMP [LT0480-CL] ALSO (LT0481-CL)M200 RC MA13,Active,3,STOCK CAGE,EA,TCC-D04E,481.5,AAC Plant 1
S011812,KOSMEK CLAMP [LT0480-CL] ALSO (LT0481-CL)M200 RC MA13,Inactive,0,,,,481.5,AAC Plant 2
S011813,NX500C SAFETY HOOK BUSHING [ 181-62564:107-0 ] DC04 DC01,Active,2,STOCK CAGE,EA,1ZT014B,390,AAC Plant 1
S011814,NX500C SAFETY HOOK MOUNTING PLATE [ 181-62564:105-0 ] DC01 DC04,Active,6,STOCK CAGE,EA,1ZT014A,290,AAC Plant 1
S011815,NX800C UA900 SAFETY HOOK MOUNTING PLATE [ 181-62566:108-0 ] DC04 DC02 DC06,Active,2,STOCK CAGE,EA,1ZT014C,320,AAC Plant 1
S011816,KOSMEK WORK SUPPORT [LC402-CL] M200 RC,OBSOLETE,0,,,,554.65,AAC Plant 2
S011817,PRESSURE SENSOR HOLE SEAL [A-10] MA34  726 KOF TML3004 / 7009,Active,7,STOCK CAGE,EA,TCC-D05A,58,AAC Plant 1
