epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
93,80.4305,1.25061,2.22743,0.00177,0.31676,0.2327,0.22099,0.16939,0.95806,3.12846,0.00202,0.0003928,0.0003928,0.0003928
94,81.1735,0.98702,2.17579,0.00212,0.29521,0.2317,0.23469,0.17905,0.98883,3.06712,0.00219,0.0003862,0.0003862,0.0003862
95,81.755,1.24411,2.18465,0.00156,0.29521,0.2317,0.23469,0.17905,0.98883,3.06712,0.00219,0.0003796,0.0003796,0.0003796
96,82.366,1.21231,2.06109,0.00164,0.29882,0.25403,0.24072,0.17973,0.97979,3.09311,0.00213,0.000373,0.000373,0.000373
97,82.9729,1.1075,2.02498,0.00161,0.29882,0.25403,0.24072,0.17973,0.97979,3.09311,0.00213,0.0003664,0.0003664,0.0003664
98,83.6069,1.1231,2.1156,0.00202,0.30024,0.25786,0.24101,0.18166,0.99333,3.0749,0.00215,0.0003598,0.0003598,0.0003598
99,84.2261,1.03363,2.0091,0.00188,0.30024,0.25786,0.24101,0.18166,0.99333,3.0749,0.00215,0.0003532,0.0003532,0.0003532
100,84.8732,1.04922,1.79514,0.00146,0.29592,0.26505,0.24219,0.18229,0.98123,3.07093,0.00219,0.0003466,0.0003466,0.0003466
101,85.4925,0.96954,2.01024,0.00157,0.29592,0.26505,0.24219,0.18229,0.98123,3.07093,0.00219,0.00034,0.00034,0.00034
102,86.1146,1.02893,2.09427,0.0018,0.32922,0.27499,0.23045,0.17504,0.99074,3.04113,0.00218,0.0003334,0.0003334,0.0003334
103,86.6994,1.08492,1.97443,0.0017,0.32922,0.27499,0.23045,0.17504,0.99074,3.04113,0.00218,0.0003268,0.0003268,0.0003268
104,87.3179,1.17395,2.12959,0.0019,0.32745,0.28874,0.23585,0.18012,0.96955,3.0267,0.00213,0.0003202,0.0003202,0.0003202
105,88.2833,1.09093,1.9571,0.00153,0.32745,0.28874,0.23585,0.18012,0.96955,3.0267,0.00213,0.0003136,0.0003136,0.0003136
